color short,color name,color code,r,g,b,description,main_color
dark_goldenrod,Dark Goldenrod,#b8860b,184,134,11,Strong orange,orange
dark_gray,Dark Gray,#a9a9a9,169,169,169,Gray,gray
dark_green,Dark Green,#013220,1,50,32,Very dark (mostly black) cyan - lime green,black
dark_imperial_blue,Dark Imperial Blue,#00416a,0,65,106,Very dark blue,black
dark_jungle_green,Dark Jungle Green,#1a2421,26,36,33,Very dark (mostly black) cyan - lime green,black
dark_khaki,Dark Khaki,#bdb76b,189,183,107,Slightly desaturated yellow,yellow
dark_lava,Dark Lava,#483c32,72,60,50,Very dark grayish orange,black
dark_lavender,Dark Lavender,#734f96,115,79,150,Dark moderate violet,black
dark_magenta,Dark Magenta,#8b008b,139,0,139,Dark magenta,black
dark_midnight_blue,Dark Midnight Blue,#036,0,51,102,Very dark blue,black
dark_olive_green,Dark Olive Green,#556b2f,85,107,47,Very dark desaturated green,black
dark_orange,Dark Orange,#ff8c00,255,140,0,Pure (or mostly pure) orange,orange
dark_orchid,Dark Orchid,#9932cc,153,50,204,Strong violet,violet
dark_pastel_blue,Dark Pastel Blue,#779ecb,119,158,203,Slightly desaturated blue,blue
dark_pastel_green,Dark Pastel Green,#03c03c,3,192,60,Strong cyan - lime green,green
dark_pastel_purple,Dark Pastel Purple,#966fd6,150,111,214,Slightly desaturated violet,violet
dark_pastel_red,Dark Pastel Red,#c23b22,194,59,34,Strong red,red
dark_pink,Dark Pink,#e75480,231,84,128,Soft pink,pink
dark_powder_blue,Dark Powder Blue,#039,0,51,153,Dark blue,black
dark_raspberry,Dark Raspberry,#872657,135,38,87,Dark pink,black
dark_red,Dark Red,#8b0000,139,0,0,Dark red,black
dark_salmon,Dark Salmon,#e9967a,233,150,122,Soft orange,orange
dark_scarlet,Dark Scarlet,#560319,86,3,25,Very dark pink,black
dark_sea_green,Dark Sea Green,#8fbc8f,143,188,143,Grayish lime green,green
dark_sienna,Dark Sienna,#3c1414,60,20,20,Very dark red,black
dark_slate_blue,Dark Slate Blue,#483d8b,72,61,139,Dark moderate blue,black
dark_slate_gray,Dark Slate Gray,#2f4f4f,47,79,79,Very dark desaturated cyan,black
dark_spring_green,Dark Spring Green,#177245,23,114,69,Very dark cyan - lime green,black
dark_tan,Dark Tan,#918151,145,129,81,Mostly desaturated dark yellow,black
dark_tangerine,Dark Tangerine,#ffa812,255,168,18,Vivid orange,orange
dark_taupe,Dark Taupe,#483c32,72,60,50,Very dark grayish orange,black
dark_terra_cotta,Dark Terra Cotta,#cc4e5c,204,78,92,Moderate red,red
dark_turquoise,Dark Turquoise,#00ced1,0,206,209,Strong cyan,cyan
dark_violet,Dark Violet,#9400d3,148,0,211,Strong violet,violet
dark_yellow,Dark Yellow,#9b870c,155,135,12,Dark yellow [Olive tone],black
dartmouth_green,Dartmouth Green,#00703c,0,112,60,Very dark cyan - lime green,black
davy_s_grey,Davy'S Grey,#555,85,85,85,Very dark gray,black
debian_red,Debian Red,#d70a53,215,10,83,Strong pink,pink
deep_carmine,Deep Carmine,#a9203e,169,32,62,Dark red,black
deep_carmine_pink,Deep Carmine Pink,#ef3038,239,48,56,Bright red,red
deep_carrot_orange,Deep Carrot Orange,#e9692c,233,105,44,Bright orange,orange
deep_cerise,Deep Cerise,#da3287,218,50,135,Bright pink,pink
deep_champagne,Deep Champagne,#fad6a5,250,214,165,Very soft orange,orange
deep_chestnut,Deep Chestnut,#b94e48,185,78,72,Moderate red,red
deep_coffee,Deep Coffee,#704241,112,66,65,Very dark desaturated red,black
deep_fuchsia,Deep Fuchsia,#c154c1,193,84,193,Moderate magenta,magenta
deep_jungle_green,Deep Jungle Green,#004b49,0,75,73,Very dark cyan,black
deep_lilac,Deep Lilac,#95b,153,85,187,Moderate violet,violet
deep_magenta,Deep Magenta,#c0c,204,0,204,Strong magenta,magenta
deep_peach,Deep Peach,#ffcba4,255,203,164,Pale orange,orange
deep_pink,Deep Pink,#ff1493,255,20,147,Vivid pink,pink
deep_ruby,Deep Ruby,#843f5b,132,63,91,Dark moderate pink,black
deep_saffron,Deep Saffron,#f93,255,153,51,Vivid orange,orange
deep_sky_blue,Deep Sky Blue,#00bfff,0,191,255,Pure (or mostly pure) blue,blue
deep_tuscan_red,Deep Tuscan Red,#66424d,102,66,77,Very dark desaturated pink,black
denim,Denim,#1560bd,21,96,189,Strong blue,blue
desert,Desert,#c19a6b,193,154,107,Slightly desaturated orange,orange
desert_sand,Desert Sand,#edc9af,237,201,175,Very soft orange,orange
dim_gray,Dim Gray,#696969,105,105,105,Very dark gray,black
dodger_blue,Dodger Blue,#1e90ff,30,144,255,Vivid blue,blue
dogwood_rose,Dogwood Rose,#d71868,215,24,104,Strong pink,pink
dollar_bill,Dollar Bill,#85bb65,133,187,101,Slightly desaturated green,green
drab,Drab,#967117,150,113,23,Dark orange [Brown tone],black
duke_blue,Duke Blue,#00009c,0,0,156,Dark blue,black
earth_yellow,Earth Yellow,#e1a95f,225,169,95,Soft orange,orange
ebony,Ebony,#555d50,85,93,80,Very dark grayish green,black
ecru,Ecru,#c2b280,194,178,128,Slightly desaturated yellow,yellow
eggplant,Eggplant,#614051,97,64,81,Very dark grayish pink,black
eggshell,Eggshell,#f0ead6,240,234,214,Light grayish yellow,yellow
